After Relaxation T =     0.100     -5.2164125021 eV, 4425.9864629963 meV
After Relaxation T =     0.200     -5.2481561262 eV, 4394.2428388777 meV
After Relaxation T =     0.300     -9.6408746625 eV,    1.5243026289 meV
After Relaxation T =     0.400     -9.6358330561 eV,    6.5659089817 meV
After Relaxation T =     0.500     -9.6285968559 eV,   13.8021092377 meV
After Relaxation T =     0.600     -9.6423935057 eV,    0.0054593704 meV
After Relaxation T =     0.700     -9.3950126938 eV,  247.3862713255 meV
After Relaxation T =     0.800     -9.6255363945 eV,   16.8625706164 meV
After Relaxation T =     0.900     -9.6135900324 eV,   28.8089329390 meV
After Relaxation T =     1.000     -9.6065716442 eV,   35.8273209553 meV
 
 
 
